 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 [VBZ,1] not consistent [IN,2] 	 [VBZ,1] not compatible [IN,2] 
 [DT,1] is not your [NN,2] 	 [DT,1] 's not your [NN,2] 
 would not have [VP/NP,1] [PRP$,2] 	 would n't have [VP/NP,1] [PRP$,2] 
 it 's not her 	 she did n't make me quit 
 [VP/VP,1] do not [VB,2] a 	 [VP/VP,1] wo n't [VB,2] a 
 [VBP,1] not allowed [TO,2] 	 [VBP,1] not permitted [TO,2] 
 [PRP,1] 'm not [ADJP/NP,2] 	 [PRP,1] am not [ADJP/NP,2] 
 can not [VP/S,1] it [VP/VP,2] 	 can only [VP/S,1] it [VP/VP,2] 
 n't [NP/NN,1] joke 	 not [NP/NN,1] joke 
 not recognise 	 not recognize 
 [VBP,1] not expressly [VBN,2] 	 [VBP,1] not explicitly [VBN,2] 
 [VBD,1] impossible [TO,2] 	 [VBD,1] not possible [TO,2] 
 not [VB,1] [WHPP,2] 	 n't [VB,1] [WHPP,2] 
 i [VBP,1] n't have [DT,2] 	 i [VBP,1] not have [DT,2] 
 [RB,1] [PRP,2] is n't easy 	 [PRP,2] 's not [RB,1] easy 
 [SBAR/VP,1] [VBZ,2] impossible to 	 [SBAR/VP,1] [VBZ,2] not possible to 
 did n't you [VP/NN,1] 	 did you not [VP/NN,1] 
 not ensure [NP,1] 	 not guarantee [NP,1] 
 ca n't be [PP,1] 	 can not be [PP,1] 
 [:,1] do n't move 	 [:,1] do not move 
 [NP/NNP,1] iraq will not 	 [NP/NNP,1] iraq wo n't 
 [PRP,1] did not possess [NP,2] 	 [PRP,1] did not have [NP,2] 
 [NP/VP,1] [VP/RB,2] right 	 [NP/VP,1] [VP/RB,2] not 
 why he did n't 	 why it has not 
 unless [VBN,1] [RB,2] in 	 if not [VBN,1] [RB,2] in 
 be careful not [VP/NP,1] 	 take care not [VP/NP,1] 
 [VBZ,1] not like [NP,2] . 	 [VBZ,1] n't like [NP,2] . 
 [VBP,1] not want [S/NN,2] 	 [VBP,1] n't want [S/NN,2] 
 [VP/S,1] [DT,2] is not 	 [VP/S,1] [DT,2] 's not 
 can not be [VP/NP,1] [NNS,2] 	 may only be [VP/NP,1] [NNS,2] 
 we can not allow ourselves 	 we can not afford 
 [VP/S,1] the author [VBD,2] not 	 [VP/S,1] the complainant [VBD,2] not 
 n't know if [SBAR\IN,1] 	 not sure if [SBAR\IN,1] 
 are not known 	 are unknown 
 [NP,1] was not included [IN,2] 	 [NP,1] did not appear [IN,2] 
 [PRP,1] [VBP,2] not allowed 	 [PRP,1] [VBP,2] forbidden 
 [COMMA,1] [CC,2] not exclusively 	 [COMMA,1] [CC,2] not limited to 
 not necessarily imply 	 not necessarily mean 
 [VBP,1] n't see why [PRP,2] 	 [VBP,1] not see why [PRP,2] 
 are not a [NP\DT,1] 	 do not constitute a [NP\DT,1] 
 [VBP,1] not see [SBAR/S,2] 	 [VBP,1] n't see [SBAR/S,2] 
 [NP,1] can not be [VBN,2] 	 [NP,1] ca n't be [VBN,2] 
 [VP/SBAR,1] unless [PRP,2] can 	 [VP/SBAR,1] if [PRP,2] can not 
 does not comply with [NP/NNS,1] 	 are inconsistent with [NP/NNS,1] 
 i am not [PP/VP,1] 	 i 'm not [PP/VP,1] 
 it [VBZ,1] not have [NN,2] 	 he [VBZ,1] n't haveany [NN,2] 
 not [VB,1] me [VP,2] . 	 n't [VB,1] me [VP,2] . 
 hoped that [NP,1] would not 	 hope that [NP,1] will not 
 can not be resolved [PP/NN,1] 	 can not be solved [PP/NN,1] 
 [VP/S,1] we are n't 	 [VP/S,1] we 're not 
 [VP/NP,1] [NNS,2] not prohibited by 	 [VP/NP,1] [NNS,2] not prohibited under 
 has not adopted [NP,1] 	 has not taken [NP,1] 
 [VBZ,1] not working [.,2] 	 [VBZ,1] not work [.,2] 
 'm doing nothing [.,1] 	 'm not doing anything [.,1] 
 not opposed to [NP,1] 	 not against [NP,1] 
 did not specify [SBAR/VP,1] 	 has not said [SBAR/VP,1] 
 had not proved [IN,1] 	 had not proven [IN,1] 
 am not [PP/PP,1] [PP,2] 	 'm not [PP/PP,1] [PP,2] 
 not take part in 	 not participate in 
 [PRP,1] 're not going [VP\VBG,2] 	 [PRP,1] 'm not going [VP\VBG,2] 
 's not [WRB,1] [S,2] 	 is n't [WRB,1] [S,2] 
 are not restricted 	 are not confined 
 did not challenge 	 has not contested 
 and not [PP/SBAR,1] [SBAR,2] 	 rather than [PP/SBAR,1] [SBAR,2] 
 you ca n't be serious . 	 you 're not serious . 
 [PRP,1] did not have [NP/PP,2] 	 [PRP,1] lacked [NP/PP,2] 
 such [NNS,1] did not [VP/NP,2] 	 those [NNS,1] did not [VP/NP,2] 
 [DT,1] summary is not 	 [DT,1] statement is not 
 [PRP,1] did n't exist 	 [PRP,1] did not exist 
 [VBP,1] not bound [PP,2] 	 [VBP,1] not related [PP,2] 
 [CC,1] that 's not 	 [CC,1] this is not 
 have only [NP/NP,1] [NP/NNS,2] 	 does not have [NP/NP,1] [NP/NNS,2] 
 [NN,1] can not [VP/SBAR,2] 	 [NN,1] can only [VP/SBAR,2] 
 did not consider it 	 did not find it 
 [VBZ,1] about time [.,2] 	 [VBZ,1] not too early [.,2] 
 n't [VP/NN,1] team 	 not [VP/NN,1] team 
 not [VP/NP,1] [DT,2] regard 	 not [VP/NP,1] [DT,2] respect 
 [PRP,1] [VBP,2] not around 	 [PRP,1] [VBP,2] not with 
 [SBAR/VP,1] did not assess 	 [SBAR/VP,1] failed to assess 
 600 mm 	 not less than 600 mm 
 we will not enjoy 	 we will not have 
 did n't expect [TO,1] 	 did not expect [TO,1] 
 [VBD,1] not responded 	 [VBD,1] not replied 
 the united states would not 	 u.s. wo n't 
 this [NN,1] fails [VP/NP,2] 	 this [NN,1] does not [VP/NP,2] 
 [MD,1] not come to [DT,2] 	 [MD,1] not reach [DT,2] 
 not slytherin , not slytherin 	 not slytherin , eh 
 [IN,1] [NP,2] does not establish 	 [IN,1] [NP,2] does not set 
 do not [VB,1] on [DT,2] 	 do n't [VB,1] on [DT,2] 
 [COMMA,1] [VBD,2] n't you ? 	 [COMMA,1] [VBD,2] he not ? 
 [PP,1] , not least [PP/PP,2] 	 [PP,1] , particularly [PP/PP,2] 
 you [VBP,1] not have [VP/NP,2] 	 you [VBP,1] n't have [VP/NP,2] 
 n't [VP/VP,1] find out 	 not [VP/VP,1] find out 
 [MD,1] also not [VB,2] 	 [MD,1] not [VB,2] either 
 n't see that one coming 	 not see that coming 
 [SYM,1] i can not 	 [SYM,1] i ca n't 
 whose [NN,1] does not appear 	 whose [NN,1] is not 
 [PRP,1] [VBP,2] not like that 	 [PRP,1] [VBP,2] n't like that 
 [VBP,1] n't judge [PRP,2] . 	 [VBP,1] not judging [PRP,2] . 
 unable to create the 	 can not create the 
 [VBD,1] not reply [PP,2] . 	 [VBD,1] not fill [PP,2] . 
 it is not realistic 	 it is unrealistic 
 do not believe [S/NP,1] [NP/NP,2] 	 do not think [S/NP,1] [NP/NP,2] 
 that 's not [SBAR/VBZ,1] 	 this is n't [SBAR/VBZ,1] 
 do not [VP/VP,1] be [NP/NN,2] 	 do n't [VP/VP,1] be [NP/NN,2] 
 'm not drinking . 	 do n't drink . 
 fails [VP/VP,1] [TO,2] have 	 did not [VP/VP,1] [TO,2] allow 
 i can not [VB,1] [S,2] 	 i ca n't [VB,1] [S,2] 
 [VBZ,1] n't [VB,2] where 	 [VBZ,1] not [VB,2] where 
 this [VBZ,1] not [PRP,2] 	 it [VBZ,1] n't [PRP,2] 
 [PP/NP,1] [NP/SBAR,2] which can not 	 [PP/NP,1] [NP/SBAR,2] who is unable 
 if this [VBZ,1] not possible 	 if that [VBZ,1] impossible 
 [INTJ,1] , not really 	 [INTJ,1] , not exactly 
 of [NP,1] [COMMA,2] rather than 	 of [NP,1] [COMMA,2] and not 
 [WHNP,1] does not appear [PP,2] 	 [WHNP,1] is not [PP,2] 
 not 	 is n't it 
 does not change the fact that 	 does n't change the fact that 
 but not [NN,1] [.,2] 	 just not [NN,1] [.,2] 
 n't see [S,1] 	 not see [S,1] 
 [SBAR/VP,1] [VBZ,2] not shown that 	 [SBAR/VP,1] [VBZ,2] not proved that 
 - that 's not necessary 	 -you do n't have to 
 not [VB,1] in [CD,2] 	 not [VB,1] during [CD,2] 
 do n't [VB,1] [S,2] . 	 do not [VB,1] [S,2] . 
 not that i 	 it 's not that i 
 [DT,1] is not [DT,2] point 	 [DT,1] 's not [DT,2] point 
 -it 's not fair 	 - that 's not fair 
 because i [MD,1] n't 	 because i [MD,1] not 
 because [NP,1] [VBZ,2] invalid 	 because [NP,1] [VBZ,2] not valid 
 [VBD,1] not [VP/SBAR,2] although 	 [VBD,1] not [VP/SBAR,2] even though 
 [PRP,1] do n't like [NNS,2] 	 [PRP,1] do not like [NNS,2] 
 it [VBZ,1] not [PRP$,2] concern 	 it [VBZ,1] not [PRP$,2] business 
 that [NP,1] failed [PP,2] 	 that [PP,2] [NP,1] does not 
 has not been [NP,1] [PP/NNS,2] 	 has n't been [NP,1] [PP/NNS,2] 
 have not attained the 	 have not reached the 
 if [NP,1] does not reply 	 if [NP,1] does not respond 
 not [VB,1] an answer [PP,2] 	 not [VB,1] a response [PP,2] 
 , but not now . 	 , but not anymore . 
 he does n't [VP/PP,1] [PP,2] 	 he 's not [VP/PP,1] [PP,2] 
 does not seem that 	 does not appear that 
 do n't see [SBAR/JJ,1] 	 do not see [SBAR/JJ,1] 
 it 's not fair . 	 it is n't fair . 
 [VBZ,1] undisputed [SBAR/VP,2] 	 [VBZ,1] not contested [SBAR/VP,2] 
 [VBP,1] this [VBZ,2] n't 	 [VBP,1] this [VBZ,2] not 
 not [RB,1] , huh [.,2] 	 not [RB,1] , right [.,2] 
 [SBAR/VP,1] do not [VP/VB,2] 	 [SBAR/VP,1] do n't [VP/VB,2] 
 is not enough [SBAR/VP,1] [VP/SBAR,2] 	 is not sufficient [SBAR/VP,1] [VP/SBAR,2] 
 [VBP,1] not understand 	 [VBP,1] n't understand 
 , not only in [NP,1] 	 , not just in [NP,1] 
 not in the mood 	 in no state to entertain 
 [PRP,1] do n't do [NN,2] 	 [PRP,1] 'm not doing [NN,2] 
 not [RB,1] [ADJP,2] 	 n't [RB,1] [ADJP,2] 
 're not married 	 are not married 
 otherwise 	 lf not 
 i am not [NNP,1] 	 i 'm not [NNP,1] 
 am not convinced that the 	 am not persuaded that the 
 [SBAR/VP,1] [MD,2] not find 	 [SBAR/VP,1] [MD,2] n't find 
 the commission [VBD,1] not [VP/PP,2] 	 the committee [VBD,1] not [VP/PP,2] 
 is not limited to the 	 is not confined to the 
 [PP/S,1] [PRP,2] 'm not 	 [PP/S,1] [PRP,2] am not 
 [VBP,1] not think we 	 [VBP,1] n't think we 
 'm not going [VP/RB,1] 	 'm not gonna [VP/RB,1] 
 n't [VB,1] enough [NNS,2] 	 not [VB,1] enough [NNS,2] 
 -lrb- non 	 -lrb- not 
 no [COMMA,1] not exactly [.,2] 	 no [COMMA,1] not really [.,2] 
 [VBZ,1] not [NP/VBZ,2] 	 [VBZ,1] n't [NP/VBZ,2] 
 [IN,1] it does n't find 	 [IN,1] you do not find 
 [NN,1] fails to run [VP\VP,2] 	 [NN,1] does not run [VP\VP,2] 
 did not receive [NP,1] 	 had not received [NP,1] 
 still time [VP,1] 	 not too late [VP,1] 
 not [IN,1] [NP,2] 	 n't [IN,1] [NP,2] 
 is not possible [TO,1] [VP/VP,2] 	 is impossible [TO,1] [VP/VP,2] 
 [PP/VP,1] can not be [VBN,2] 	 [PP/VP,1] may only be [VBN,2] 
 was n't too 	 was not too 
 [S/SBAR,1] in order not 	 [S/SBAR,1] so as not to 
 [VP/SBAR,1] [SBAR/RB,2] n't . 	 [VP/SBAR,1] [SBAR/RB,2] not . 
 your computer does n't [VP,1] 	 your computer does not [VP,1] 
 [SBAR/VP,1] [VBZ,2] not approve 	 [SBAR/VP,1] [VBZ,2] not accept 
 are n't [RB,1] [WP,2] 	 are not [RB,1] [WP,2] 
 did n't change a lot . 	 have not changed . 
 not [NP,1] 	 n't [NP,1] 
 -but [PRP,1] [VBZ,2] not 	 but [PRP,1] [VBZ,2] not 
 [VP/VP,1] has failed [VP/NP,2] 	 [VP/VP,1] has not [VP/NP,2] 
 [IN,1] we 're not [VP/PP,2] 	 [IN,1] we do n't [VP/PP,2] 
 [NP,1] has not been submitted 	 [NP,1] is not being examined 
 're not real ! 	 are not real ! 
 is not only a question 	 is not just a matter 
 's not very [JJ,1] . 	 's not really [JJ,1] . 
 n't [RB,1] [VP\RB,2] 	 [RB,1] not [VP\RB,2] 
 i do not understand [.,1] 	 i do n't understand [.,1] 
 [VBZ,1] not explain how 	 [VBZ,1] n't explain how 
 [VBZ,1] not liable [PP/NP,2] 	 [VBZ,1] not responsible [PP/NP,2] 
 [SBAR/VP,1] is unacceptable [IN,2] 	 [SBAR/VP,1] is not acceptable [IN,2] 
 is not bound [PP/NP,1] 	 is not related [PP/NP,1] 
 [VBZ,1] not inconsistent [PP/VP,2] 	 [VBZ,1] not incompatible [PP/VP,2] 
 does not fall under [NP/NNP,1] 	 does not fall within [NP/NNP,1] 
 [VBP,1] not want [VP\VB,2] . 	 [VBP,1] n't want [VP\VB,2] . 
 [NP/VP,1] does not conform 	 [NP/VP,1] is not in conformity 
 [VBP,1] not have [NP/NP,2] 	 [VBP,1] not possess [NP/NP,2] 
 [MD,1] not restrict 	 [MD,1] not limit 
 not [RB,1] work 	 not functioning [RB,1] 
 [VBZ,1] not change [NP/NN,2] 	 [VBZ,1] not alter [NP/NN,2] 
 are not just 	 are not only 
 not completely [VB,1] [NP,2] 	 not fully [VB,1] [NP,2] 
 would n't be [ADJP/S,1] 	 would not be [ADJP/S,1] 
 [SBAR/VP,1] has not provided [NP/SBAR,2] 	 [SBAR/VP,1] did not submit [NP/SBAR,2] 
 " [PRP,1] [MD,2] n't 	 " [PRP,1] [MD,2] not 
 [VBP,1] [VP/VP,2] 'm not 	 [VBP,1] [VP/VP,2] am not 
 n't [VP/PP,1] [PP/NNS,2] days 	 not [VP/PP,1] [PP/NNS,2] days 
 's not good [PP,1] [.,2] 	 's bad [PP,1] [.,2] 
 [VBZ,1] not [VB,2] too 	 [VBZ,1] n't [VB,2] too 
 [VBZ,1] not [VP/S,2] you 	 [VBZ,1] n't [VP/S,2] we 
 is not [RB,1] [SBAR,2] 	 's not [RB,1] [SBAR,2] 
 [PRP,1] 'm not [VBG,2] that 	 [PRP,1] are not [VBG,2] that 
 [NP,1] [VBD,2] not reply 	 [NP,1] [VBD,2] not respond 
 not exactly , sir [.,1] 	 maybe not always [.,1] 
 not [VP/PP,1] [IN,2] european level 	 not [VP/PP,1] [IN,2] eu level 
 not practicable 	 unfeasible 
 am not [PP/DT,1] 	 'm not [PP/DT,1] 
 the author has failed to 	 the author has not 
 [VBZ,1] not made 	 [VBZ,1] not done 
 n't [VP/PRP,1] [PRP,2] 	 not [VP/PRP,1] [PRP,2] 
 n't [VP/NN,1] money 	 not [VP/NN,1] money 
 not leaving [PRP,1] here 	 n't leave [PRP,1] here 
 [NP,1] [VBD,2] not entitled 	 [NP,1] [VBD,2] not eligible 
 do not know whether [S/SBAR,1] 	 do n't know if [S/SBAR,1] 
 do not have [NP,1] [CC,2] 	 lack [NP,1] [CC,2] 
 [VBD,1] n't i ? 	 [VBD,1] not ? 
 [SBAR/VP,1] did not change 	 [SBAR/VP,1] had not changed 
 [SBAR/VP,1] [VBZ,2] not demonstrated 	 [SBAR/VP,1] [VBZ,2] failed to show 
 [NP\DT,1] [VBP,2] not complied with 	 [NP\DT,1] [VBP,2] not satisfied 
 i [VBP,1] n't want [S,2] 	 i [VBP,1] not want [S,2] 
 [NP,1] [VBZ,2] not authorize 	 [NP,1] [VBZ,2] not permit 
 not here 	 n't here 
 were not parties [PP/NN,1] 	 are not party [PP/NN,1] 
 do n't [VB,1] [TO,2] 	 does not [VB,1] [TO,2] 
 [VP/S,1] [NP,2] does not mean 	 [VP/S,1] [NP,2] does not imply 
 [VBP,1] n't [NP/JJ,2] 	 [VBP,1] not [NP/JJ,2] 
 [SBAR/VP,1] has not provided [NP/PP,2] 	 [SBAR/VP,1] did not provide [NP/PP,2] 
 he 's not [RB,1] [.,2] 	 he ai n't [RB,1] [.,2] 
 it [VBZ,1] n't [PRP$,2] fault 	 it [VBZ,1] not [PRP$,2] fault 
 should not [VB,1] too 	 should n't [VB,1] too 
 [DT,1] claimant has failed 	 [DT,1] claimant has not 
 [MD,1] only [VP/PRN,2] 	 [MD,1] not [VP/PRN,2] 
 i am not talking 	 i am not speaking 
 this [NN,1] [MD,2] not 	 such [NN,1] [MD,2] not 
 [NP/S,1] the [NN,2] has not 	 [NP/S,1] the [NN,2] has failed 
 does not mean [SBAR/S,1] 	 does not imply [SBAR/S,1] 
 i can not [VP/DT,1] 	 i ca n't [VP/DT,1] 
 [IN,1] it ai n't [PP/NN,2] 	 [IN,1] it 's not [PP/NN,2] 
 're not [JJ,1] yet . 	 'm not [JJ,1] yet . 
 [PP/VP,1] was not able to 	 [PP/VP,1] was unable to 
 [IN,1] [NNS,2] not prohibited by 	 [IN,1] [NNS,2] not prohibited under 
 [VBZ,1] been unable to [VP/NN,2] 	 [VBZ,1] not been able [VP/NN,2] 
 n't [DT,1] place [PP,2] 	 not [DT,1] place [PP,2] 
 it is unclear [IN,1] 	 it is not known [IN,1] 
 it 's kind [PP/NP,1] 	 it 's not [PP/NP,1] 
 [VBP,1] not want [NP/NN,2] 	 [VBP,1] n't want [NP/NN,2] 
 was not enough [VP/SBAR,1] [IN,2] 	 is not sufficient [VP/SBAR,1] [IN,2] 
 [NP,1] is neither [NP,2] nor 	 [NP,1] is not [NP,2] or 
 not take the 	 n't take the 
 [VBP,1] n't know [SBAR/SBAR,2] what 	 [VBP,1] not know [SBAR/SBAR,2] that 
 [VBP,1] n't [ADVP\RB,2] 	 [VBP,1] not [ADVP\RB,2] 
 does not meet [NP,1] [IN,2] 	 does not fulfil [NP,1] [IN,2] 
 n't even know if [S,1] 	 not even sure [S,1] 
 [VP/VP,1] 'm not sure [WHNP,2] 	 [VP/VP,1] do n't know [WHNP,2] 
 do not suggest [IN,1] 	 do not indicate [IN,1] 
 [VBZ,1] n't [NP,2] yet . 	 [VBZ,1] not [NP,2] yet . 
 [VBP,1] [PRP,2] not understand ? 	 [VBP,1] n't [PRP,2] understand ? 
 not do . 	 n't do . 
 [NNP,1] ca n't [VP/NP,2] 	 [NNP,1] can not [VP/NP,2] 
 is impossible to [VP/NP,1] 	 is not possible to [VP/NP,1] 
 [VBZ,1] n't the [NN,2] 	 [VBZ,1] not the [NN,2] 
 [NP/SBAR,1] [WDT,2] are not parties 	 [NP/SBAR,1] [WDT,2] are not party 
 [NP,1] 's not a [NN,2] 	 [NP,1] ai n't a [NN,2] 
 do n't [VB,1] [VP/NNP,2] 	 not [VB,1] [VP/NNP,2] 
 i did n't realize . 	 i did not see it . 
 it [VBD,1] n't the [NP\DT,2] 	 it [VBD,1] not the [NP\DT,2] 
 [VBZ,1] n't about me [.,2] 	 [VBZ,1] not for me [.,2] 
 does not exclude [NP/PP,1] 	 does not preclude [NP/PP,1] 
 does not occur [PP,1] 	 does not happen [PP,1] 
 [JJ,1] submissions will not [VP,2] 	 [JJ,1] tenders will not [VP,2] 
 [VBP,1] n't [VB,2] where i 	 [VBP,1] not [VB,2] where i 
 [VBD,1] not linked 	 [VBD,1] not related 
 [MD,1] not be [VP/NN,2] 	 [MD,1] only be [VP/NN,2] 
 n't [VB,1] [PRP$,2] father 	 not [VB,1] [PRP$,2] father 
 's not good enough [.,1] 	 is not enough [.,1] 
 do not understand [NP/NNS,1] 	 do not include [NP/NNS,1] 
 n't [VP/PP,1] like [DT,2] . 	 not [VP/PP,1] like [DT,2] . 
 because they [MD,1] not 	 as they [MD,1] not 
 [VBD,1] n't [VB,2] because 	 [VBD,1] not [VB,2] because 
 is not clear [IN,1] 	 is not certain [IN,1] 
 that [VBZ,1] not mine 	 this [VBZ,1] n't mine 
 would n't [VP/PRP,1] you . 	 'm not [VP/PRP,1] you . 
 are not [VBG,1] [PRP$,2] 	 'm not [VBG,1] [PRP$,2] 
 would not be possible [VP/NP,1] 	 would be impossible [VP/NP,1] 
 [S/VP,1] will not [VB,2] in 	 [S/VP,1] wo n't [VB,2] in 
 [PP,1] and not to [NP,2] 	 [PP,1] rather than to [NP,2] 
 ca n't have [PRP,1] [.,2] 	 shall not take [PRP,1] [.,2] 
 i [VBP,1] not supposed 	 i [VBP,1] n't have to 
 [WP,1] [S,2] is n't 	 [WP,1] [S,2] is not 
 not over . 	 n't over yet . 
 n't pay [NP,1] 	 not pay [NP,1] 
 not read 	 n't read 
 [VBP,1] not know [SBAR/JJ,2] 	 [VBP,1] n't know [SBAR/JJ,2] 
 article does not apply to 	 section does not apply to 
 was n't [NNP,1] 	 was not [NNP,1] 
 not encourage 	 not promote 
 [PRP,1] do not propose to 	 [PRP,1] do not intend to 
 hey , [SBAR/PRP,1] [PRP,2] ? 	 not [SBAR/PRP,1] [PRP,2] . 
 n't [ADJP/NNS,1] [NNS,2] 	 not [ADJP/NNS,1] [NNS,2] 
 not [VP/VP,1] see [NP,2] 	 n't [VP/VP,1] see [NP,2] 
 if we [VBP,1] n't [VP/RB,2] 	 if we [VBP,1] not [VP/RB,2] 
 is not [VBG,1] as 	 is n't [VBG,1] as 
 [IN,1] he could n't 	 [IN,1] he could not 
 [PRP,1] [VBZ,2] n't that 	 [PRP,1] [VBZ,2] not that 
 [VBZ,1] not want to [VP/NP,2] 	 [VBZ,1] n't want [VP/NP,2] 
 dare not do that [.,1] 	 should n't have [.,1] 
 since it [VBZ,1] not possible 	 as it [VBZ,1] impossible 
 i 'm not [NP,1] [SBAR,2] 	 it was n't [NP,1] [SBAR,2] 
 do n't follow . 	 'm not following . 
 ca n't [VP/VP,1] [VP/VBN,2] 	 can not [VP/VP,1] [VP/VBN,2] 
 has not been applied 	 has not been implemented 
 has failed to demonstrate [WRB,1] 	 has not demonstrated [WRB,1] 
 [VBZ,1] not too late [TO,2] 	 [VBZ,1] still time [TO,2] 
 do not [RB,1] [VB,2] whether 	 do n't [VB,2] [RB,1] if 
 not [ADJP/NNS,1] [NNS,2] 	 n't [ADJP/NNS,1] [NNS,2] 
 not [VP/VB,1] write 	 n't [VP/VB,1] write 
 they do n't [VB,1] to 	 they do not [VB,1] to 
 's not [NP/VP,1] [VP/S,2] 	 is not [NP/VP,1] [VP/S,2] 
 is not your fault 	 's not your fault 
 n't go to [NN,1] 	 not going to [NN,1] 
 [IN,1] you 're not in 	 [IN,1] it is not in 
 [SBAR/ADJP,1] [JJ,2] rather than 	 [SBAR/ADJP,1] [JJ,2] and not 
 this [VBZ,1] n't your [NN,2] 	 this [VBZ,1] not your [NN,2] 
 that [DT,1] court [VBD,2] not 	 that [DT,1] tribunal [VBD,2] not 
 slytherin , eh [.,1] 	 slytherin , not slytherin [.,1] 
 i [VP/VP,1] [VBZ,2] n't 	 i [VP/VP,1] [VBZ,2] not 
 soon [IN,1] [S/PP,2] 	 not long [IN,1] [S/PP,2] 
 [DT,1] [NNP,2] party fails 	 [DT,1] [NNP,2] party does not 
 does not contest 	 does not dispute 
 [WP,1] do n't have [NP/NN,2] 	 [WP,1] do not have [NP/NN,2] 
 's not [WP,1] [S/NN,2] 	 is not [WP,1] [S/NN,2] 
 is not ready [TO,1] 	 is not prepared [TO,1] 
 [ADJP/VP,1] [VBZ,2] impossible 	 [ADJP/VP,1] [VBZ,2] not possible 
 [PRP,1] [VBP,2] not even 	 [PRP,1] [VBP,2] n't even 
 was n't [NP/VP,1] [VP/RB,2] 	 is not [NP/VP,1] [VP/RB,2] 
 [ADJP/S,1] he [VBD,2] n't 	 [ADJP/S,1] he [VBD,2] not 
 do n't think [DT,1] 	 do not believe that [DT,1] 
 it 's not working 	 that does n't work 
 do not [VB,1] [SBAR/VBG,2] 	 do n't [VB,1] [SBAR/VBG,2] 
 had not [VBN,1] sufficiently 	 have not [VBN,1] adequately 
 i do n't follow . 	 i 'm not following you . 
 it is not known [SBAR/NP,1] 	 we do n't know [SBAR/NP,1] 
 [CC,1] not now . 	 [CC,1] not right now . 
 is not participating in erm 	 does not participate in erm 
 not a fucking whore 	 not a whore 
 [DT,1] requirement does not [VP,2] 	 [DT,1] provision does not [VP,2] 
 [PP/S,1] i did not 	 [PP/S,1] i have n't 
 -that [VBZ,1] not [ADJP,2] 	 - it [VBZ,1] not [ADJP,2] 
 -rrb- not applicable 	 -rrb- does not apply 
 [WDT,1] is not supported [IN,2] 	 [WDT,1] is not compatible [IN,2] 
 are not allowed [PP,1] 	 are not permitted [PP,1] 
 am not [CD,1] [PP/NNS,2] 	 'm not [CD,1] [PP/NNS,2] 
 unsubstantiated 	 not valid 
 n't [ADJP/NP,1] [NP,2] 	 not [ADJP/NP,1] [NP,2] 
 [PRP,1] was impossible to 	 [PRP,1] was not possible to 
 if [PRP,1] do not [VP/PP,2] 	 if [PRP,1] do n't [VP/PP,2] 
 [PRP,1] [VBP,2] n't hungry 	 [PRP,1] [VBP,2] not hungry 
 [VBP,1] n't afraid [PP/NN,2] 	 [VBP,1] not afraid [PP/NN,2] 
 that 's not mine 	 it does n't belong to me 
 we do not know if 	 we do n't know if 
 [SBAR/VP,1] do not allocate 	 [SBAR/VP,1] do not affect 
 'm not mad . 	 am not angry . 
 [VBZ,1] not have [DT,2] authority 	 [VBZ,1] not have [DT,2] power 
 [VBZ,1] dangerous for 	 [VBZ,1] not safe for 
 [VB,1] the [NN,2] rather than 	 [VB,1] the [NN,2] and not 
 does not [VB,1] [SBAR/NNS,2] 	 do n't [VB,1] [SBAR/NNS,2] 
 [SBAR/VP,1] do not form [NN,2] 	 [SBAR/VP,1] are not [NN,2] 
 n't my [NP\PRP$,1] 	 not my [NP\PRP$,1] 
 n't [VP/NNS,1] children 	 not [VP/NNS,1] children 
 do n't [VB,1] with [PRP,2] 	 do not [VB,1] with [PRP,2] 
 [VBP,1] n't follow you . 	 [VBP,1] not following you . 
 with not more than 	 containing not more than 
 [NNP,1] do n't leave [PRP,2] 	 [NNP,1] 'm not leaving [PRP,2] 
 [CC,1] [PRP,2] 'm not 	 [CC,1] [PRP,2] 're not 
 [VBP,1] not reached [NP/NP,2] 	 [VBP,1] not attained [NP/NP,2] 
 not [DT,1] ending 	 n't [DT,1] end 
 does not provide [NP,1] [IN,2] 	 does not give [NP,1] [IN,2] 
 [PRP,1] have nothing [PP/PRP,2] 	 [PRP,1] 'm not [PP/PRP,2] 
 was unable to [VB,1] [PP/NN,2] 	 could not [VB,1] [PP/NN,2] 
 the committee [VP/VP,1] has not 	 the committee [VP/VP,1] has failed 
 is not enough that 	 is not sufficient for 
 that [NNS,1] may only [VB,2] 	 that [NNS,1] may not [VB,2] 
 [VBZ,1] not exactly [WP,2] 	 [VBZ,1] n't exactly [WP,2] 
 [S/VP,1] will not [VP/S,2] 	 [S/VP,1] wo n't [VP/S,2] 
 not demonstrate that 	 not show that 
 is n't [NP,1] 	 's not [NP,1] 
 can not be [VBN,1] [PP/VP,2] 	 may only be [VBN,1] [PP/VP,2] 
 is not a [NN,1] 	 's not a [NN,1] 
 [NP,1] [IN,2] they can not 	 [NP,1] [IN,2] it is unable 
 not [JJ,1] [IN,2] you 	 n't [JJ,1] [IN,2] you 
 i do not want [VP/PP,1] 	 i do not wish [VP/PP,1] 
 he 's not [IN,1] 	 he is not [IN,1] 
 is not functioning [RB,1] . 	 is not working [RB,1] . 
 not to mention the 	 let alone the 
 [NP,1] are n't that [JJ,2] 	 [NP,1] are not that [JJ,2] 
